r,s
24.200000000000003,-1.2717559034517052
24.3,-1.2714844423358476
24.400000000000002,-1.2712125027675245
24.5,-1.2709400835210327
24.6,-1.2706671833666259
24.700000000000003,-1.2703938010704983
24.8,-1.270119935394769
24.900000000000002,-1.2698455850974664
25.0,-1.2695707489325108
25.1,-1.2692954256496982
25.200000000000003,-1.2690196139946854
25.3,-1.268743312708972
25.400000000000002,-1.2684665205298842
25.5,-1.2681892361905585
25.6,-1.2679114584199251
25.700000000000003,-1.2676331859426913
25.8,-1.2673544174793234
25.900000000000002,-1.2670751517460315
26.0,-1.266795387454752
26.1,-1.2665151233131298
26.200000000000003,-1.2662343580245017
26.3,-1.2659530902878795
26.400000000000002,-1.2656713187979323
26.5,-1.2653890422449696
26.6,-1.2651062593149227
26.700000000000003,-1.2648229686893289
26.8,-1.264539169045312
26.900000000000002,-1.264254859055567
27.0,-1.2639700373883394
27.1,-1.2636847027074098
27.200000000000003,-1.2633988536720753
27.3,-1.26311248893713
27.400000000000002,-1.2628256071528496
27.5,-1.2625382069649713
27.6,-1.2622502870146757
27.700000000000003,-1.261961845938569
27.8,-1.261672882368665
27.900000000000002,-1.2613833949323647
28.0,-1.2610933822524404
28.1,-1.2608028429470146
28.200000000000003,-1.2605117756295428
28.3,-1.260220178908794
28.400000000000002,-1.2599280513888313
28.5,-1.2596353916689944
28.6,-1.259342198343879
28.700000000000003,-1.2590484700033182
28.8,-1.2587542052323633
28.900000000000002,-1.258459402611264
29.0,-1.2581640607154498
29.1,-1.2578681781155092
29.200000000000003,-1.2575717533771713
29.3,-1.257274785061285
29.400000000000002,-1.2569772717238004
29.5,-1.2566792119157475
29.6,-1.256380604183217
29.700000000000003,-1.2560814470673405
29.8,-1.2557817391042696
29.900000000000002,-1.2554814788251556
30.0,-1.2551806647561303
30.1,-1.254879295418284
30.200000000000003,-1.2545773693276452
30.3,-1.2542748849951617
30.400000000000002,-1.2539718409266774
30.5,-1.253668235622913
30.6,-1.253364067579444
30.700000000000003,-1.2530593352866812
30.8,-1.2527540372298482
30.900000000000002,-1.2524481718889602
31.0,-1.252141737738804
31.1,-1.2518347332489146
31.200000000000003,-1.251527156883555
31.3,-1.251219007101695
31.400000000000002,-1.2509102823569878
31.5,-1.2506009810977492
31.6,-1.2502911017669363
31.700000000000003,-1.2499806428021238
31.8,-1.2496696026354837
31.900000000000002,-1.2493579796937615
32.0,-1.2490457723982544
32.1,-1.2487329791647896
32.2,-1.248419598403701
32.300000000000004,-1.2481056285198058
32.4,-1.2477910679123838
32.5,-1.2474759149751526
32.6,-1.2471601680962459
32.7,-1.246843825658189
32.800000000000004,-1.2465268860378775
32.9,-1.2462093476065523
33.0,-1.2458912087297775
33.1,-1.2455724677674158
33.2,-1.2452531230736055
33.300000000000004,-1.2449331729967366
33.4,-1.2446126158794275
33.5,-1.2442914500585
33.6,-1.243969673864956
33.7,-1.2436472856239529
33.800000000000004,-1.24332428365478
33.9,-1.2430006662708333
34.0,-1.2426764317795913
34.1,-1.2423515784825905
34.2,-1.2420261046754009
34.300000000000004,-1.2417000086475998
34.4,-1.241373288682749
34.5,-1.2410459430583678
34.6,-1.2407179700459086
34.7,-1.2403893679107318
34.800000000000004,-1.2400601349120797
34.9,-1.2397302693030514
35.0,-1.2393997693305772
35.1,-1.2390686332353922
35.2,-1.2387368592520112
35.300000000000004,-1.238404445608702
35.4,-1.2380713905274594
35.5,-1.2377376922239796
35.6,-1.237403348907632
35.7,-1.2370683587814348
35.800000000000004,-1.2367327200420273
35.9,-1.2363964308796427
36.0,-1.236059489478082
36.1,-1.2357218940146866
36.2,-1.2353836426603113
36.300000000000004,-1.235044733579297
36.4,-1.2347051649294425
36.5,-1.2343649348619785
36.6,-1.2340240415215384
36.7,-1.2336824830461317
36.800000000000004,-1.233340257567115
36.9,-1.232997363209165
37.0,-1.2326537980902492
37.1,-1.2323095603215983
37.2,-1.2319646480076782
37.300000000000004,-1.2316190592461596
37.4,-1.2312727921278914
37.5,-1.2309258447368707
37.6,-1.2305782151502134
37.7,-1.2302299014381264
37.800000000000004,-1.229880901663877
37.9,-1.2295312138837642
38.0,-1.2291808361470895
38.1,-1.2288297664961259
38.2,-1.2284780029660893
38.300000000000004,-1.2281255435851082
38.400000000000006,-1.2277723863741932
38.5,-1.2274185293472075
38.6,-1.2270639705108355
38.7,-1.2267087078645535
38.800000000000004,-1.2263527394005975
38.900000000000006,-1.2259960631039342
39.0,-1.2256386769522283
39.1,-1.2252805789158123
39.2,-1.2249217669576553
39.300000000000004,-1.224562239033331
39.400000000000006,-1.2242019930909873
39.5,-1.2238410270713127
39.6,-1.2234793389075063
39.7,-1.2231169265252448
39.800000000000004,-1.2227537878426509
39.900000000000006,-1.2223899207702602
40.0,-1.2220253232109897
40.1,-1.2216599930601042
40.2,-1.2212939282051845
40.300000000000004,-1.2209271265260937
40.400000000000006,-1.2205595858949452
40.5,-1.2201913041760677
40.6,-1.2198222792259736
40.7,-1.2194525088933241
40.800000000000004,-1.2190819910188968
40.900000000000006,-1.2187107234355505
41.0,-1.2183387039681923
41.1,-1.217965930433743
41.2,-1.2175924006411016
41.300000000000004,-1.2172181123911132
41.400000000000006,-1.216843063476533
41.5,-1.2164672516819905
41.6,-1.2160906747839564
41.7,-1.2157133305507057
41.800000000000004,-1.2153352167422844
41.900000000000006,-1.2149563311104719
42.0,-1.2145766713987465
42.1,-1.2141962353422493
42.2,-1.2138150206677487
42.300000000000004,-1.2134330250936032
42.400000000000006,-1.213050246329726
42.5,-1.212666682077548
42.6,-1.2122823300299814
42.7,-1.2118971878713827
42.800000000000004,-1.2115112532775156
42.900000000000006,-1.211124523915514
43.0,-1.2107369974438442
43.1,-1.2103486715122687
43.2,-1.2099595437618058
43.300000000000004,-1.209569611824695
43.400000000000006,-1.209178873324356
43.5,-1.2087873258753528
43.6,-1.2083949670833531
43.7,-1.2080017945450914
43.800000000000004,-1.207607805848329
43.900000000000006,-1.2072129985718165
44.0,-1.2068173702852525
44.1,-1.2064209185492463
44.2,-1.206023640915277
44.300000000000004,-1.2056255349256544
44.400000000000006,-1.2052265981134789
44.5,-1.2048268280026015
44.6,-1.2044262221075832
44.7,-1.2040247779336553
44.800000000000004,-1.2036224929766774
44.900000000000006,-1.203219364723098
45.0,-1.2028153906499124
45.1,-1.202410568224622
45.2,-1.2020048949051925
45.300000000000004,-1.2015983681400126
45.400000000000006,-1.2011909853678522
45.5,-1.20078274401782
45.6,-1.2003736415093211
45.7,-1.1999636752520157
45.800000000000004,-1.199552842645775
45.900000000000006,-1.1991411410806398
46.0,-1.1987285679367763
46.1,-1.1983151205844331
46.2,-1.1979007963838986
46.300000000000004,-1.1974855926854568
46.400000000000006,-1.197069506829343
46.5,-1.196652536145701
46.6,-1.1962346779545368
46.7,-1.1958159295656765
46.800000000000004,-1.1953962882787204
46.900000000000006,-1.194975751382998
47.0,-1.1945543161575234
47.1,-1.1941319798709495
47.2,-1.1937087397815234
47.300000000000004,-1.1932845931370395
47.400000000000006,-1.1928595371747948
47.5,-1.1924335691215417
47.6,-1.1920066861934417
47.7,-1.1915788855960199
47.800000000000004,-1.1911501645241174
47.900000000000006,-1.190720520161844
48.0,-1.1902899496825317
48.1,-1.1898584502486866
48.2,-1.1894260190119417
48.300000000000004,-1.1889926531130088
48.400000000000006,-1.1885583496816308
48.5,-1.1881231058365322
48.6,-1.187686918685372
48.7,-1.187249785324694
48.800000000000004,-1.1868117028398777
48.900000000000006,-1.18637266830509
49.0,-1.1859326787832343
49.1,-1.1854917313259024
49.2,-1.1850498229733233
49.300000000000004,-1.1846069507543135
49.400000000000006,-1.1841631116862268
49.5,-1.1837183027749028
49.6,-1.1832725210146178
49.7,-1.1828257633880315
49.800000000000004,-1.1823780268661377
49.900000000000006,-1.1819293084082108
50.0,-1.1814796049617557
50.1,-1.181028913462455
50.2,-1.1805772308341163
50.300000000000004,-1.18012455398862
50.400000000000006,-1.1796708798258675
50.5,-1.1792162052337265
50.6,-1.1787605270879784
50.7,-1.1783038422522658
50.800000000000004,-1.1778461475780373
50.900000000000006,-1.177387439904494
51.0,-1.1769277160585352
51.1,-1.1764669728547048
51.2,-1.1760052070951352
51.300000000000004,-1.1755424155694927
51.400000000000006,-1.1750785950549232
51.5,-1.1746137423159952
51.6,-1.1741478541046453
51.7,-1.1736809271601214
51.800000000000004,-1.1732129582089268
51.900000000000006,-1.1727439439647638
52.0,-1.1722738811284763
52.1,-1.1718027663879937
52.2,-1.1713305964182728
52.300000000000004,-1.1708573678812404
52.400000000000006,-1.170383077425736
52.5,-1.1699077216874532
52.6,-1.1694312972888812
52.7,-1.168953800839247
52.800000000000004,-1.168475228934456
52.900000000000006,-1.1679955781570324
53.0,-1.1675148450760604
53.1,-1.1670330262471251
53.2,-1.1665501182122513
53.300000000000004,-1.1660661174998435
53.400000000000006,-1.1655810206246267
53.5,-1.165094824087584
53.6,-1.1646075243758967
53.7,-1.1641191179628825
53.800000000000004,-1.1636296013079337
53.900000000000006,-1.1631389708564566
54.0,-1.1626472230398073
54.1,-1.1621543542752315
54.2,-1.1616603609657998
54.300000000000004,-1.1611652395003467
54.400000000000006,-1.1606689862534056
54.5,-1.1601715975851465
54.6,-1.1596730698413118
54.7,-1.1591733993531517
54.800000000000004,-1.1586725824373607
54.900000000000006,-1.1581706153960125
55.0,-1.1576674945164953
55.1,-1.1571632160714458
55.2,-1.156657776318685
55.300000000000004,-1.156151171501151
55.400000000000006,-1.1556433978468343
55.5,-1.1551344515687103
55.6,-1.154624328864673
55.7,-1.1541130259174681
55.800000000000004,-1.1536005388946258
55.900000000000006,-1.1530868639483938
56.0,-1.1525719972156676
56.1,-1.1520559348179245
56.2,-1.1515386728611543
56.300000000000004,-1.15102020743579
56.400000000000006,-1.1505005346166401
56.5,-1.149979650462818
56.6,-1.1494575510176726
56.7,-1.1489342323087195
56.800000000000004,-1.1484096903475696
56.900000000000006,-1.1478839211298588
57.0,-1.1473569206351775
57.1,-1.1468286848269988
57.2,-1.1462992096526086
57.300000000000004,-1.1457684910430315
57.400000000000006,-1.1452365249129615
57.5,-1.1447033071606871
57.6,-1.1441688336680205
57.7,-1.1436331003002236
57.800000000000004,-1.1430961029059348
57.900000000000006,-1.1425578373170968
58.0,-1.14201829934888
58.1,-1.1414774847996119
58.2,-1.1409353894506986
58.300000000000004,-1.1403920090665536
58.400000000000006,-1.13984733939452
58.5,-1.1393013761647972
58.6,-1.138754115090363
58.7,-1.1382055518668994
58.800000000000004,-1.137655682172715
58.900000000000006,-1.1371045016686698
59.0,-1.1365520059980956
59.1,-1.1359981907867214
59.2,-1.1354430516425942
59.300000000000004,-1.1348865841560016
59.400000000000006,-1.1343287838993932
59.5,-1.1337696464273024
59.6,-1.1332091672762672
59.7,-1.132647341964751
59.800000000000004,-1.1320841659930632
59.900000000000006,-1.1315196348432792
60.0,-1.1309537439791604
60.1,-1.1303864888460735
60.2,-1.1298178648709098
60.300000000000004,-1.1292478674620037
60.400000000000006,-1.128676492009052
60.5,-1.128103733883031
60.6,-1.1275295884361163
60.7,-1.1269540510015972
60.800000000000004,-1.1263771168937977
60.900000000000006,-1.1257987814079904
61.0,-1.1252190398203148
61.1,-1.124637887387693
61.2,-1.1240553193477454
61.300000000000004,-1.123471330918707
61.400000000000006,-1.1228859172993424
61.5,-1.1222990736688603
61.6,-1.121710795186829
61.7,-1.1211210769930904
61.800000000000004,-1.1205299142076734
61.900000000000006,-1.119937301930709
62.0,-1.1193432352423422
62.1,-1.1187477092026459
62.2,-1.118150718851533
62.300000000000004,-1.1175522592086693
62.400000000000006,-1.1169523252733864
62.5,-1.1163509120245914
62.6,-1.1157480144206797
62.7,-1.115143627399446
62.800000000000004,-1.114537745877995
62.900000000000006,-1.1139303647526517
63.0,-1.1133214788988715
63.1,-1.1127110831711504
63.2,-1.1120991724029339
63.300000000000004,-1.1114857414065271
63.400000000000006,-1.1108707849730026
63.5,-1.1102542978721093
63.6,-1.109636274852181
63.7,-1.1090167106400444
63.800000000000004,-1.1083955999409254
63.900000000000006,-1.107772937438358
64.0,-1.1071487177940904
64.10000000000001,-1.1065229356479918
64.2,-1.1058955856179586
64.3,-1.1052666622998206
64.4,-1.1046361602672463
64.5,-1.1040040740716488
64.60000000000001,-1.1033703982420908
64.7,-1.1027351272851886
64.8,-1.1020982556850178
64.9,-1.1014597779030164
65.0,-1.1008196883778887
65.10000000000001,-1.1001779815255093
65.2,-1.0995346517388265
65.3,-1.098889693387764
65.4,-1.098243100819125
65.5,-1.0975948683564933
65.60000000000001,-1.0969449903001363
65.7,-1.0962934609269055
65.8,-1.0956402744901392
65.9,-1.094985425219563
66.0,-1.09432890732119
66.10000000000001,-1.0936707149772222
66.2,-1.093010842345951
66.3,-1.092349283561656
66.4,-1.091686032734505
66.5,-1.0910210839504542
66.60000000000001,-1.0903544312711464
66.7,-1.0896860687338097
66.8,-1.089015990351157
66.9,-1.088344190111283
67.0,-1.087670661977563
67.10000000000001,-1.0869953998885502
67.2,-1.0863183977578734
67.3,-1.0856396494741338
67.4,-1.084959148900802
67.5,-1.0842768898761148
67.60000000000001,-1.083592866212971
67.7,-1.0829070716988283
67.8,-1.0822195000955983
67.9,-1.0815301451395427
68.0,-1.0808390005411683
68.10000000000001,-1.0801460599851218
68.2,-1.0794513171300855
68.3,-1.078754765608671
68.4,-1.0780563990273133
68.5,-1.0773562109661667
68.60000000000001,-1.0766541949789963
68.7,-1.0759503445930736
68.8,-1.075244653309068
68.9,-1.0745371146009421
69.0,-1.0738277219158432
69.10000000000001,-1.0731164686739962
69.2,-1.072403348268597
69.3,-1.0716883540657036
69.4,-1.070971479404129
69.5,-1.070252717595333
69.60000000000001,-1.0695320619233142
69.7,-1.0688095056445008
69.8,-1.0680850419876424
69.9,-1.0673586641537014
70.0,-1.0666303653157436
70.10000000000001,-1.0659001386188287
70.2,-1.0651679771799019
70.3,-1.0644338740876835
70.4,-1.0636978224025597
70.5,-1.0629598151564723
70.60000000000001,-1.0622198453528091
70.7,-1.061477905966294
70.8,-1.0607339899428758
70.9,-1.0599880901996186
71.0,-1.059240199624591
71.10000000000001,-1.0584903110767556
71.2,-1.0577384173858577
71.3,-1.056984511352315
71.4,-1.0562285857471063
71.5,-1.0554706333116606
71.60000000000001,-1.0547106467577454
71.7,-1.0539486187673561
71.8,-1.0531845419926047
71.9,-1.0524184090556072
72.0,-1.0516502125483738
72.10000000000001,-1.0508799450326953
72.2,-1.0501075990400341
72.3,-1.0493331670714103
72.4,-1.0485566415972907
72.5,-1.0477780150574778
72.60000000000001,-1.0469972798609968
72.7,-1.0462144283859853
72.8,-1.0454294529795805
72.9,-1.044642345957807
73.0,-1.043853099605467
73.10000000000001,-1.0430617061760263
73.2,-1.0422681578915045
73.3,-1.0414724469423622
73.4,-1.040674565487389
73.5,-1.0398745056535936
73.60000000000001,-1.039072259536091
73.7,-1.0382678191979913
73.8,-1.0374611766702881
73.9,-1.0366523239517484
74.0,-1.0358412530088001
74.10000000000001,-1.0350279557754216
74.2,-1.034212424153031
74.3,-1.033394650010375
74.4,-1.0325746251834182
74.5,-1.0317523414752334
74.60000000000001,-1.0309277906558898
74.7,-1.0301009644623447
74.8,-1.029271854598332
74.9,-1.0284404527342534
75.0,-1.0276067505070687
75.10000000000001,-1.026770739520186
75.2,-1.025932411343353
75.3,-1.0250917575125482
75.4,-1.0242487695298728
75.5,-1.023403438863441
75.60000000000001,-1.0225557569472739
75.7,-1.0217057151811901
75.8,-1.0208533049306996
75.9,-1.0199985175268957
76.0,-1.0191413442663497
76.10000000000001,-1.0182817764110026
76.2,-1.0174198051880612
76.3,-1.016555421789891
76.4,-1.0156886173739113
76.5,-1.0148193830624914
76.60000000000001,-1.0139477099428456
76.7,-1.013073589066929
76.80000000000001,-1.0121970114513341
76.9,-1.0113179680771889
77.0,-1.0104364498900535
77.10000000000001,-1.0095524477998181
77.2,-1.0086659526806026
77.30000000000001,-1.0077769553706546
77.4,-1.0068854466722503
77.5,-1.005991417351594
77.60000000000001,-1.005094858138719
77.7,-1.0041957597273896
77.80000000000001,-1.0032941127750035
77.9,-1.0023899079024943
78.0,-1.0014831356942346
78.10000000000001,-1.0005737866979412
78.2,-0.9996618514245794
78.30000000000001,-0.9987473203482689
78.4,-0.9978301839061904
78.5,-0.996910432498493
78.60000000000001,-0.9959880564882014
78.7,-0.9950630462011265
78.80000000000001,-0.994135391925773
78.9,-0.9932050839132521
79.0,-0.9922721123771914
79.10000000000001,-0.991336467493648
79.2,-0.9903981394010224
79.30000000000001,-0.9894571181999718
79.4,-0.9885133939533265
79.5,-0.9875669566860051
79.60000000000001,-0.9866177963849331
